Date;Close;Open;High;Low;Volume
03.01.2023; $14,32 ; $14,85 ; $15,00 ; $14,10 ;401 276 580
04.01.2023; $14,75 ; $14,57 ; $14,85 ; $14,24 ;431 323 600
05.01.2023; $14,27 ; $14,49 ; $14,56 ; $14,15 ;389 168 110
06.01.2023; $14,86 ; $14,47 ; $15,01 ; $14,03 ;405 043 620
09.01.2023; $15,63 ; $15,28 ; $16,06 ; $15,14 ;504 230 560
10.01.2023; $15,91 ; $15,51 ; $15,96 ; $15,47 ;384 101 260
11.01.2023; $16,00 ; $15,84 ; $16,03 ; $15,56 ;353 284 930
12.01.2023; $16,51 ; $16,10 ; $16,64 ; $15,49 ;551 409 060
13.01.2023; $16,90 ; $16,28 ; $16,92 ; $16,17 ;447 287 060
17.01.2023; $17,70 ; $16,90 ; $17,73 ; $16,90 ;511 102 160
18.01.2023; $17,38 ; $17,67 ; $17,87 ; $17,28 ;439 623 550
19.01.2023; $16,77 ; $17,04 ; $17,20 ; $16,73 ;452 931 600
20.01.2023; $17,84 ; $17,01 ; $17,86 ; $16,83 ;564 967 120
23.01.2023; $19,19 ; $18,06 ; $19,25 ; $17,82 ;655 162 590
24.01.2023; $19,27 ; $18,83 ; $19,50 ; $18,82 ;496 204 100
25.01.2023; $19,32 ; $18,91 ; $19,37 ; $18,58 ;449 537 110
26.01.2023; $19,80 ; $19,70 ; $20,17 ; $19,28 ;489 535 420
27.01.2023; $20,37 ; $19,46 ; $20,63 ; $19,41 ;542 141 980
30.01.2023; $19,16 ; $19,95 ; $20,14 ; $19,15 ;488 611 150
31.01.2023; $19,54 ; $19,17 ; $19,69 ; $18,95 ;498 016 580
01.02.2023; $20,94 ; $19,69 ; $21,19 ; $19,61 ;660 477 040
02.02.2023; $21,71 ; $21,00 ; $21,95 ; $20,70 ;564 275 800
03.02.2023; $21,10 ; $21,00 ; $21,75 ; $20,79 ;429 365 950
06.02.2023; $21,09 ; $20,81 ; $21,57 ; $20,79 ;452 197 090
07.02.2023; $22,17 ; $21,38 ; $22,26 ; $21,15 ;664 149 610
08.02.2023; $22,21 ; $22,39 ; $22,88 ; $22,01 ;559 651 220
09.02.2023; $22,34 ; $22,61 ; $23,02 ; $22,12 ;523 875 780
10.02.2023; $21,27 ; $21,69 ; $22,08 ; $20,81 ;550 736 750
13.02.2023; $21,79 ; $21,54 ; $22,05 ; $20,96 ;474 918 620
14.02.2023; $22,97 ; $21,58 ; $23,05 ; $21,37 ;675 473 500
15.02.2023; $22,76 ; $22,55 ; $22,86 ; $22,11 ;421 188 260
16.02.2023; $22,00 ; $22,13 ; $22,55 ; $21,93 ;412 026 280
17.02.2023; $21,39 ; $21,63 ; $21,74 ; $20,98 ;465 887 640
21.02.2023; $20,66 ; $21,00 ; $21,49 ; $20,62 ;410 014 550
22.02.2023; $20,75 ; $20,71 ; $21,10 ; $20,42 ;513 184 320
23.02.2023; $23,66 ; $23,44 ; $23,89 ; $23,03 ;1 117 995 410
24.02.2023; $23,29 ; $23,23 ; $23,47 ; $22,95 ;589 715 910
27.02.2023; $23,50 ; $23,67 ; $23,88 ; $23,45 ;452 993 670
28.02.2023; $23,22 ; $23,37 ; $23,83 ; $23,21 ;455 962 800
01.03.2023; $22,70 ; $23,19 ; $23,26 ; $22,51 ;460 025 620
02.03.2023; $23,31 ; $22,49 ; $23,38 ; $22,43 ;390 074 650
03.03.2023; $23,89 ; $23,32 ; $23,90 ; $23,13 ;412 393 300
06.03.2023; $23,55 ; $23,89 ; $24,25 ; $23,49 ;437 429 230
07.03.2023; $23,29 ; $23,60 ; $24,13 ; $23,24 ;515 153 880
08.03.2023; $24,18 ; $23,49 ; $24,20 ; $23,42 ;513 573 390
09.03.2023; $23,44 ; $24,18 ; $24,45 ; $23,38 ;501 256 990
10.03.2023; $22,97 ; $23,41 ; $23,63 ; $22,73 ;474 865 650
13.03.2023; $22,97 ; $22,75 ; $23,30 ; $22,30 ;421 890 320
14.03.2023; $24,06 ; $23,50 ; $24,22 ; $23,46 ;474 910 130
15.03.2023; $24,23 ; $23,76 ; $24,29 ; $23,36 ;524 485 740
16.03.2023; $25,54 ; $24,03 ; $25,59 ; $23,89 ;584 946 260
17.03.2023; $25,73 ; $25,98 ; $26,40 ; $25,67 ;848 546 560
20.03.2023; $25,90 ; $25,62 ; $26,02 ; $25,13 ;432 747 190
21.03.2023; $26,20 ; $26,18 ; $26,39 ; $25,38 ;547 407 760
22.03.2023; $26,47 ; $26,43 ; $27,59 ; $26,24 ;797 295 110
23.03.2023; $27,19 ; $27,12 ; $27,50 ; $26,69 ;564 888 760
24.03.2023; $26,78 ; $27,03 ; $27,17 ; $26,36 ;455 414 070
27.03.2023; $26,53 ; $26,84 ; $27,00 ; $26,37 ;361 025 740
28.03.2023; $26,41 ; $26,45 ; $26,51 ; $25,85 ;356 103 780
29.03.2023; $26,98 ; $26,83 ; $27,08 ; $26,60 ;393 693 870
30.03.2023; $27,38 ; $27,23 ; $27,50 ; $27,10 ;364 515 740
31.03.2023; $27,78 ; $27,14 ; $27,83 ; $27,11 ;433 932 770
03.04.2023; $27,97 ; $27,51 ; $28,00 ; $27,34 ;398 715 600
04.04.2023; $27,45 ; $27,97 ; $28,00 ; $27,31 ;368 591 530
05.04.2023; $26,88 ; $26,83 ; $27,00 ; $26,40 ;515 014 740
06.04.2023; $27,04 ; $26,58 ; $27,08 ; $26,43 ;397 654 340
10.04.2023; $27,58 ; $26,82 ; $27,62 ; $26,67 ;395 278 550
11.04.2023; $27,17 ; $27,72 ; $27,79 ; $27,13 ;314 378 170
12.04.2023; $26,50 ; $27,37 ; $27,47 ; $26,45 ;446 258 950
13.04.2023; $26,46 ; $26,73 ; $26,89 ; $26,33 ;353 615 280
14.04.2023; $26,76 ; $26,50 ; $26,88 ; $26,22 ;395 660 130
17.04.2023; $27,00 ; $26,57 ; $27,01 ; $26,43 ;321 471 300
18.04.2023; $27,67 ; $27,53 ; $28,11 ; $27,36 ;604 811 540
19.04.2023; $27,93 ; $27,36 ; $28,00 ; $27,23 ;358 660 410
20.04.2023; $27,10 ; $27,67 ; $28,03 ; $27,00 ;427 713 260
21.04.2023; $27,12 ; $26,95 ; $27,18 ; $26,72 ;345 102 770
24.04.2023; $27,04 ; $27,01 ; $27,37 ; $26,67 ;339 281 860
25.04.2023; $26,24 ; $27,08 ; $27,25 ; $26,23 ;378 527 160
26.04.2023; $26,96 ; $27,00 ; $27,33 ; $26,71 ;406 336 810
27.04.2023; $27,23 ; $27,36 ; $27,50 ; $26,63 ;377 161 190
28.04.2023; $27,75 ; $27,23 ; $27,76 ; $27,07 ;292 216 140
01.05.2023; $28,91 ; $27,84 ; $29,06 ; $27,78 ;570 328 530
02.05.2023; $28,21 ; $28,68 ; $28,84 ; $28,08 ;402 729 570
03.05.2023; $27,80 ; $27,84 ; $28,37 ; $27,47 ;383 387 400
04.05.2023; $27,56 ; $27,65 ; $27,86 ; $27,24 ;321 850 410
05.05.2023; $28,68 ; $27,83 ; $28,76 ; $27,73 ;361 494 080
08.05.2023; $29,15 ; $28,52 ; $29,22 ; $28,35 ;344 978 900
09.05.2023; $28,57 ; $28,90 ; $28,97 ; $28,45 ;314 869 460
10.05.2023; $28,89 ; $29,01 ; $29,11 ; $28,46 ;369 349 980
11.05.2023; $28,58 ; $28,90 ; $28,95 ; $28,25 ;322 149 030
12.05.2023; $28,34 ; $28,53 ; $28,78 ; $28,05 ;274 222 250
15.05.2023; $28,95 ; $28,51 ; $28,97 ; $28,15 ;293 925 870
16.05.2023; $29,21 ; $28,84 ; $29,87 ; $28,83 ;449 404 940
17.05.2023; $30,18 ; $29,58 ; $30,20 ; $29,43 ;432 535 410
18.05.2023; $31,68 ; $30,41 ; $31,83 ; $30,32 ;748 725 010
19.05.2023; $31,26 ; $31,54 ; $31,58 ; $30,92 ;473 907 650
22.05.2023; $31,18 ; $30,90 ; $31,52 ; $30,68 ;371 999 670
23.05.2023; $30,69 ; $31,00 ; $31,29 ; $30,63 ;356 253 260
24.05.2023; $30,54 ; $30,21 ; $30,61 ; $29,81 ;721 418 510
25.05.2023; $37,98 ; $38,52 ; $39,48 ; $36,64 ;1 543 910 670
26.05.2023; $38,95 ; $37,89 ; $39,17 ; $37,55 ;714 396 760
30.05.2023; $40,11 ; $40,60 ; $41,94 ; $39,95 ;923 401 100
31.05.2023; $37,83 ; $39,49 ; $40,30 ; $37,82 ;1 002 580 200
01.06.2023; $39,77 ; $38,49 ; $40,05 ; $38,34 ;635 872 950
02.06.2023; $39,33 ; $40,10 ; $40,50 ; $39,06 ;482 731 210
05.06.2023; $39,17 ; $38,91 ; $39,57 ; $38,71 ;396 093 810
06.06.2023; $38,65 ; $38,83 ; $39,16 ; $38,15 ;388 729 140
07.06.2023; $37,48 ; $38,92 ; $39,50 ; $37,36 ;511 997 890
08.06.2023; $38,51 ; $37,72 ; $38,86 ; $37,51 ;417 772 400
09.06.2023; $38,77 ; $39,04 ; $39,71 ; $38,57 ;427 717 470
12.06.2023; $39,48 ; $39,20 ; $39,53 ; $38,62 ;389 673 350
13.06.2023; $41,02 ; $40,19 ; $41,10 ; $39,74 ;613 208 160
14.06.2023; $43,00 ; $40,82 ; $43,00 ; $40,55 ;740 465 020
15.06.2023; $42,65 ; $42,60 ; $43,29 ; $42,15 ;568 622 040
16.06.2023; $42,69 ; $43,45 ; $43,72 ; $42,66 ;655 709 410
20.06.2023; $43,81 ; $43,00 ; $43,99 ; $42,67 ;451 153 110
21.06.2023; $43,05 ; $43,50 ; $43,62 ; $42,08 ;551 602 910
22.06.2023; $43,03 ; $42,25 ; $43,43 ; $42,23 ;417 737 430
23.06.2023; $42,21 ; $42,46 ; $42,81 ; $42,02 ;358 139 840
26.06.2023; $40,63 ; $42,46 ; $42,76 ; $40,10 ;594 321 920
27.06.2023; $41,88 ; $40,80 ; $41,94 ; $40,45 ;462 174 700
28.06.2023; $41,12 ; $40,66 ; $41,85 ; $40,52 ;582 639 270
29.06.2023; $40,82 ; $41,56 ; $41,60 ; $40,60 ;380 514 300
30.06.2023; $42,30 ; $41,68 ; $42,55 ; $41,50 ;501 147 750
03.07.2023; $42,41 ; $42,52 ; $42,90 ; $42,20 ;198 209 190
05.07.2023; $42,32 ; $42,14 ; $43,18 ; $42,09 ;323 617 560
06.07.2023; $42,10 ; $41,84 ; $42,18 ; $41,35 ;304 138 790
07.07.2023; $42,50 ; $42,32 ; $43,21 ; $42,18 ;355 881 470
10.07.2023; $42,18 ; $42,66 ; $42,81 ; $41,65 ;353 908 110
11.07.2023; $42,41 ; $42,48 ; $42,76 ; $42,07 ;298 244 060
12.07.2023; $43,90 ; $43,03 ; $43,94 ; $42,78 ;481 277 020
13.07.2023; $45,98 ; $44,52 ; $46,16 ; $44,49 ;478 203 690
14.07.2023; $45,47 ; $46,58 ; $48,09 ; $45,06 ;772 075 330
17.07.2023; $46,46 ; $46,29 ; $46,50 ; $45,26 ;510 488 220
18.07.2023; $47,49 ; $46,70 ; $47,90 ; $45,73 ;570 190 420
19.07.2023; $47,08 ; $47,46 ; $47,82 ; $46,74 ;427 501 790
20.07.2023; $45,52 ; $46,51 ; $47,09 ; $45,06 ;537 864 510
21.07.2023; $44,31 ; $45,79 ; $45,87 ; $44,10 ;963 768 630
24.07.2023; $44,61 ; $44,73 ; $45,11 ; $44,04 ;383 099 740
25.07.2023; $45,68 ; $44,94 ; $46,18 ; $44,92 ;348 080 910
26.07.2023; $45,45 ; $46,02 ; $46,05 ; $44,63 ;364 237 260
27.07.2023; $45,90 ; $46,52 ; $47,40 ; $45,75 ;455 975 520
28.07.2023; $46,75 ; $46,67 ; $47,03 ; $46,38 ;331 194 240
31.07.2023; $46,73 ; $46,75 ; $47,13 ; $46,51 ;251 055 280
01.08.2023; $46,51 ; $46,46 ; $46,90 ; $46,03 ;239 275 970
02.08.2023; $44,27 ; $45,83 ; $45,84 ; $43,39 ;530 141 570
03.08.2023; $44,52 ; $43,80 ; $45,12 ; $43,80 ;325 076 600
04.08.2023; $44,68 ; $44,99 ; $45,64 ; $44,39 ;362 666 180
07.08.2023; $45,42 ; $45,11 ; $45,54 ; $44,56 ;322 153 540
08.08.2023; $44,66 ; $44,85 ; $45,24 ; $44,06 ;353 843 430
09.08.2023; $42,55 ; $44,27 ; $44,31 ; $42,13 ;586 449 070
10.08.2023; $42,39 ; $42,16 ; $43,57 ; $41,84 ;492 705 300
11.08.2023; $40,86 ; $41,75 ; $42,02 ; $40,64 ;533 085 260
14.08.2023; $43,75 ; $40,49 ; $43,80 ; $40,31 ;690 285 830
15.08.2023; $43,94 ; $44,56 ; $45,27 ; $43,71 ;676 511 510
16.08.2023; $43,49 ; $44,52 ; $44,68 ; $43,41 ;527 450 680
17.08.2023; $43,34 ; $43,97 ; $44,06 ; $43,00 ;452 394 820
18.08.2023; $43,30 ; $42,64 ; $43,58 ; $41,66 ;583 767 870
21.08.2023; $46,97 ; $44,49 ; $47,07 ; $44,22 ;692 573 370
22.08.2023; $45,67 ; $48,14 ; $48,19 ; $45,33 ;757 206 910
23.08.2023; $47,12 ; $45,87 ; $47,20 ; $45,21 ;779 046 080
24.08.2023; $47,16 ; $50,22 ; $50,27 ; $47,16 ;1 156 044 090
25.08.2023; $46,02 ; $47,01 ; $47,81 ; $45,02 ;925 340 520
28.08.2023; $46,84 ; $46,48 ; $46,98 ; $44,89 ;685 192 230
29.08.2023; $48,78 ; $46,67 ; $49,08 ; $46,39 ;701 396 990
30.08.2023; $49,26 ; $49,04 ; $49,93 ; $48,43 ;735 205 980
31.08.2023; $49,36 ; $49,38 ; $49,74 ; $48,96 ;528 569 770
01.09.2023; $48,51 ; $49,76 ; $49,80 ; $48,14 ;463 830 300
05.09.2023; $48,55 ; $48,22 ; $48,85 ; $47,86 ;382 652 580
06.09.2023; $47,06 ; $48,44 ; $48,55 ; $46,58 ;468 669 570
07.09.2023; $46,24 ; $45,53 ; $46,34 ; $45,15 ;433 329 890
08.09.2023; $45,57 ; $45,94 ; $46,61 ; $45,27 ;473 899 940
11.09.2023; $45,18 ; $46,15 ; $46,16 ; $44,31 ;473 965 550
12.09.2023; $44,87 ; $44,74 ; $45,67 ; $44,53 ;349 256 340
13.09.2023; $45,49 ; $44,60 ; $45,93 ; $44,50 ;398 355 350
14.09.2023; $45,58 ; $45,95 ; $45,99 ; $45,13 ;370 097 200
15.09.2023; $43,90 ; $45,34 ; $45,60 ; $43,81 ;506 830 510
18.09.2023; $43,97 ; $42,75 ; $44,24 ; $42,00 ;500 270 790
19.09.2023; $43,52 ; $43,83 ; $43,97 ; $43,00 ;373 064 240
20.09.2023; $42,24 ; $43,60 ; $43,90 ; $42,22 ;367 107 690
21.09.2023; $41,02 ; $41,58 ; $42,10 ; $40,98 ;450 735 960
22.09.2023; $41,61 ; $41,57 ; $42,12 ; $41,23 ;479 236 310
25.09.2023; $42,22 ; $41,59 ; $42,54 ; $41,18 ;419 090 960
26.09.2023; $41,91 ; $42,00 ; $42,82 ; $41,66 ;402 282 090
27.09.2023; $42,47 ; $42,33 ; $42,87 ; $41,63 ;444 935 200
28.09.2023; $43,09 ; $42,46 ; $43,45 ; $42,12 ;424 662 790
29.09.2023; $43,50 ; $43,83 ; $44,14 ; $43,31 ;397 829 930
02.10.2023; $44,78 ; $44,03 ; $45,18 ; $43,86 ;433 298 210
03.10.2023; $43,52 ; $44,81 ; $45,13 ; $43,25 ;470 849 540
04.10.2023; $44,04 ; $43,74 ; $44,14 ; $43,29 ;361 820 860
05.10.2023; $44,69 ; $44,05 ; $44,90 ; $43,89 ;393 483 090
06.10.2023; $45,76 ; $44,19 ; $45,79 ; $44,03 ;434 436 020
09.10.2023; $45,27 ; $44,84 ; $45,61 ; $44,37 ;409 674 720
10.10.2023; $45,80 ; $45,31 ; $46,26 ; $45,09 ;368 582 080
11.10.2023; $46,81 ; $46,20 ; $46,86 ; $46,05 ;378 136 890
12.10.2023; $46,95 ; $46,78 ; $47,61 ; $46,33 ;481 325 000
13.10.2023; $45,46 ; $46,96 ; $47,12 ; $45,28 ;475 425 990
16.10.2023; $46,10 ; $45,06 ; $46,23 ; $44,91 ;375 099 240
17.10.2023; $43,94 ; $44,00 ; $44,75 ; $42,48 ;812 332 670
18.10.2023; $42,20 ; $42,59 ; $43,22 ; $41,83 ;627 294 340
19.10.2023; $42,10 ; $42,81 ; $43,30 ; $41,88 ;501 233 080
20.10.2023; $41,39 ; $41,89 ; $42,47 ; $41,08 ;477 266 050
23.10.2023; $42,98 ; $41,23 ; $43,25 ; $40,95 ;478 530 490
24.10.2023; $43,66 ; $43,08 ; $43,70 ; $42,69 ;401 463 370
25.10.2023; $41,78 ; $43,40 ; $43,65 ; $41,56 ;398 379 220
26.10.2023; $40,33 ; $41,85 ; $42,26 ; $39,88 ;541 001 320
27.10.2023; $40,50 ; $41,13 ; $41,21 ; $40,02 ;416 784 410
30.10.2023; $41,16 ; $41,09 ; $41,77 ; $40,48 ;388 028 140
31.10.2023; $40,78 ; $40,45 ; $40,88 ; $39,23 ;517 968 700
01.11.2023; $42,33 ; $40,88 ; $42,38 ; $40,87 ;437 592 900
02.11.2023; $43,51 ; $43,33 ; $43,88 ; $42,89 ;409 171 870
03.11.2023; $45,01 ; $44,02 ; $45,31 ; $43,72 ;424 609 590
06.11.2023; $45,75 ; $45,28 ; $45,94 ; $44,90 ;400 733 350
07.11.2023; $45,96 ; $45,72 ; $46,22 ; $45,16 ;343 165 470
08.11.2023; $46,57 ; $46,10 ; $46,87 ; $45,97 ;346 718 940
09.11.2023; $46,95 ; $47,47 ; $48,23 ; $46,75 ;540 495 970
10.11.2023; $48,34 ; $47,50 ; $48,47 ; $47,28 ;422 441 560
13.11.2023; $48,62 ; $48,32 ; $49,12 ; $48,10 ;384 135 700
14.11.2023; $49,66 ; $49,68 ; $49,83 ; $49,04 ;416 953 870
15.11.2023; $48,89 ; $49,94 ; $49,96 ; $48,20 ;475 497 350
16.11.2023; $49,48 ; $48,68 ; $49,52 ; $48,33 ;339 756 240
17.11.2023; $49,30 ; $49,52 ; $49,72 ; $49,01 ;325 896 910
20.11.2023; $50,41 ; $49,31 ; $50,55 ; $49,18 ;416 142 600
21.11.2023; $49,94 ; $50,13 ; $50,52 ; $49,22 ;565 746 870
22.11.2023; $48,72 ; $49,85 ; $50,33 ; $47,69 ;900 642 330
24.11.2023; $47,78 ; $48,47 ; $48,92 ; $47,75 ;294 644 640
27.11.2023; $48,24 ; $47,80 ; $48,53 ; $47,65 ;395 661 900
28.11.2023; $47,82 ; $48,24 ; $48,32 ; $47,47 ;401 490 850
29.11.2023; $48,14 ; $48,38 ; $48,76 ; $47,86 ;382 004 650
30.11.2023; $46,77 ; $48,02 ; $48,11 ; $46,42 ;526 246 630
01.12.2023; $46,77 ; $46,53 ; $47,20 ; $46,19 ;369 317 010
04.12.2023; $45,51 ; $46,08 ; $46,08 ; $45,01 ;437 543 440
05.12.2023; $46,57 ; $45,47 ; $46,60 ; $45,27 ;371 717 620
06.12.2023; $45,50 ; $47,21 ; $47,39 ; $45,41 ;380 589 550
07.12.2023; $46,60 ; $45,70 ; $46,63 ; $45,60 ;350 822 550
08.12.2023; $47,51 ; $46,60 ; $47,74 ; $46,55 ;359 223 700
11.12.2023; $46,63 ; $47,49 ; $47,53 ; $45,83 ;509 728 090
12.12.2023; $47,66 ; $46,05 ; $47,67 ; $46,05 ;372 386 860
13.12.2023; $48,09 ; $47,63 ; $48,59 ; $47,61 ;447 791 860
14.12.2023; $48,35 ; $48,39 ; $48,67 ; $47,42 ;391 231 740
15.12.2023; $48,89 ; $48,19 ; $49,40 ; $48,12 ;479 947 580
18.12.2023; $50,08 ; $49,40 ; $50,43 ; $49,15 ;412 587 170
19.12.2023; $49,60 ; $49,42 ; $49,70 ; $48,90 ;464 444 460
20.12.2023; $48,11 ; $49,66 ; $50,00 ; $48,10 ;397 894 390
21.12.2023; $48,99 ; $48,81 ; $49,10 ; $48,42 ;300 425 350
22.12.2023; $48,83 ; $49,20 ; $49,38 ; $48,47 ;252 506 760
26.12.2023; $49,28 ; $48,97 ; $49,60 ; $48,96 ;244 199 520
27.12.2023; $49,42 ; $49,51 ; $49,68 ; $49,09 ;233 647 980
28.12.2023; $49,52 ; $49,64 ; $49,88 ; $49,41 ;246 587 480
29.12.2023; $49,52 ; $49,81 ; $50,00 ; $48,75 ;389 293 300
